Bana 1;Bitar;Segment;Subsegment;Längd;Svängighet;Lutning;Maxspänning;;;Bana 2;Bitar;Segment;Subsegment;Längd;Svängighet;Lutning;Maxspänning;;Bana 2;Segment;Längd;;;
;Kort;;2;90;;;;;;;Kort;;2;90;;;;;;;;;;
;Ytter;;3;250;-90;;;;;;Inner;;3;200;-90;;;;;;;;;
;Ytter;;4;250;;;;;;;Inner;;4;200;;;;;;;;;;
;Hel;;5;350;;;;;;;Hel;;5;350;;;;;;;;;;
;Inner;;6;200;45;;;;;;Ytter;;6;250;45;;;;;;;;;
;Bro;;7;235;;;;;;;Bro;;7;235;;;;;;;;;;
;Bro;;8;235;;;;;;;Bro;;8;235;;;;;;;;;;
;Ytter;;9;250;-45;;;;;;Inner;;9;200;-45;;;;;;;;;
;Hel;;10;350;;;;;;;Hel;;10;350;;;;;;;;;;
;Halv;;11;175;;;;;;;Halv;;11;175;;;;;;;;;;
;Inner;;12;200;135;;;;;;Ytter;;12;250;135;;;;;;;;;
;Inner;;13;200;;;;;;;Ytter;;13;250;;;;;;;;;;
;Inner;;14;200;;;;;;;Ytter;;14;250;;;;;;;;;;
;Halv;;15;175;;;;;;;Halv;;15;175;;;;;;;;;;
;Inner;;16;200;90;;;;;;Ytter;;16;250;90;;;;;;;;;
;Inner;;1;200;;;;;;;Ytter;;17;250;;;;;;;;;;
;Ytter;8;2;250;-45;;;;;;Inner;8;1;200;-45;;;;;;;;;
;Inner;;3;200;45;;;;;;Ytter;;2;250;45;;;;;;;;;
;Halv;;4;175;;;;;;;Halv;;3;175;;;;;;;;;;
;Inner;;5;200;90;;;;;;Ytter;;4;250;90;;;;;;;;;
;Inner;;6;200;;;;;;;Ytter;;5;250;;;;;;;;;;
;Bro;;7;235;;;;;;;Bro;;6;235;;;;;;;;;;
;Hel;;8;350;;;;;;;Hel;;7;350;;;;;;;;;;
;Inner;;9;200;90;;;;;;Ytter;;8;250;90;;;;;;;;;
;Inner;;10;200;;;;;;;Ytter;;9;250;;;;;;;;;;
;Hel;;11;350;;;;;;;Hel;;10;350;;;;;;;;;;
;Halv;;12;175;;;;;;;Halv;;11;175;;;;;;;;;;
;Hel;;13;350;;;;;;;Hel;;12;350;;;;;;;;;;
;Inner;9;1;200;90;;;;;;Ytter;9;1;250;90;;;;;;;;;
;Inner;;2;200;90;;;;;;Ytter;;2;250;90;;;;;;;;;
;Hel;;3;350;;;;;;;Hel;;3;350;;;;;;;;;;
;Hel;;4;350;;;;;;;Hel;;4;350;;;;;;;;;;
;Halv;;5;175;;;;;;;Halv;;5;175;;;;;;;;;;
;Inner;;6;200;90;;;;;;Ytter;;6;250;90;;;;;;;;;
;Inner;;7;200;;;;;;;Ytter;;7;250;;;;;;;;;;
;Målbit;;8;315;;;;;;;Målbit;;8;315;;;;;;;;;;
